Unnamed: 0,combine_year,POS,HEIGHT,WEIGHT,BMI,BODY.FAT,STANDING.REACH,WINGSPAN,HAND.LENGTH,HAND.WIDTH,STANDING.VERTICAL,MAX.VERTICAL,LANE.AGILITY,SHUTTLE.RUN,THREE.QUARTER.SPRINT,BENCH.PRESS,WINGSPAN.HEIGHT.RATIO,STANDING.TOUCH,MAX.TOUCH,Name,above_max_vert_mean
250,2018,PG,73.5,191.0,24.86,5.2,97.5,80.25,8.75,10.0,34.0,41.5,10.93,3.09,3.18,6.0,1.092,131.5,139.0,Trevon Duval,1
251,2018,SG/SF,76.25,199.6,24.13,6.5,102.5,81.25,9.0,9.3,28.0,35.5,11.11,3.14,3.2,8.0,1.066,130.5,138.0,Jacob Evans,0
253,2018,SG/SF,76.5,198.2,23.81,7.9,105.0,85.75,9.5,9.5,31.0,40.5,11.24,3.08,3.08,0.0,1.121,136.0,145.5,Melvin Frazier,1
255,2018,PG,72.25,186.4,25.1,4.8,96.0,78.25,8.5,9.5,31.0,37.0,11.28,3.15,3.21,14.0,1.083,127.0,133.0,Devonte Graham,1
257,2018,SG,76.25,206.4,24.96,8.5,102.0,79.75,8.5,10.0,25.0,31.0,10.95,3.16,3.27,6.0,1.046,127.0,133.0,Devon Hall,0
258,2018,PF,78.5,211.6,24.14,5.2,107.0,87.5,9.25,10.3,27.5,32.0,11.28,3.15,3.36,4.0,1.115,134.5,139.0,Kevin Hervey,0
260,2018,SG,78.25,194.0,22.27,8.6,101.5,79.5,8.25,8.5,31.0,38.0,10.89,2.97,3.09,9.0,1.016,132.5,139.5,Kevin Huerter,1
263,2018,PF,79.25,216.6,24.24,8.1,103.0,80.75,8.5,9.8,25.0,31.0,11.83,3.28,3.38,8.0,1.019,128.0,134.0,Alize Johnson,0
264,2018,SG/SF,76.75,218.6,26.09,7.3,101.5,83.5,9.0,10.3,31.0,39.0,10.75,3.08,3.29,15.0,1.088,132.5,140.5,George King,1
266,2018,C,78.5,246.0,28.06,7.4,106.5,84.0,9.25,10.0,31.5,35.0,12.28,3.36,3.28,12.0,1.07,138.0,141.5,Sagaba Konate,0
267,2018,SG/SF,76.75,195.8,23.37,7.0,101.5,82.0,8.5,8.8,29.0,36.5,10.43,2.75,3.26,6.0,1.068,130.5,138.0,Caleb Martin,1
268,2018,PF/C,79.25,246.2,27.56,8.1,107.5,84.5,9.25,10.0,27.0,31.5,11.35,3.13,3.17,18.0,1.066,134.5,139.0,Yante Maten,0
269,2018,C,83.5,250.4,25.25,8.7,110.5,86.0,9.75,9.5,27.5,32.0,11.77,3.31,3.23,9.0,1.03,138.0,142.5,Brandon McCoy,0
270,2018,PG/SG,74.25,193.2,24.64,5.2,99.5,80.5,8.5,9.5,31.0,36.5,11.48,3.33,3.23,1.0,1.084,130.5,136.0,DeAnthony Melton,1
271,2018,PF/C,80.5,219.6,23.82,5.1,108.0,84.5,9.0,9.3,29.5,36.0,11.89,3.25,3.33,5.0,1.05,137.5,144.0,Chimezie Metu,1
272,2018,PG/SG,76.5,207.2,24.89,6.8,99.5,84.75,8.75,9.5,30.0,33.0,11.07,3.19,3.25,2.0,1.108,129.5,132.5,Shake Milton,0
273,2018,SG/SF,78.5,211.6,24.14,8.5,100.0,76.75,8.25,9.5,30.5,37.0,11.25,3.18,3.15,4.0,0.978,130.5,137.0,Sviatoslav Mykhailiuk,1
275,2018,SG,75.0,210.8,26.35,5.2,102.0,84.0,9.0,9.8,33.0,42.0,11.08,3.03,3.04,12.0,1.12,135.0,144.0,Josh Okogie,1
276,2018,SG/SF,77.0,211.2,25.04,7.4,103.5,82.75,9.0,9.0,27.0,34.0,11.53,3.11,3.22,7.0,1.075,130.5,137.5,Theo Pinson,0
278,2018,PF,80.75,222.4,23.98,5.5,108.0,86.0,9.25,9.5,25.0,33.0,11.26,3.35,3.2,0.0,1.065,133.0,141.0,Billy Preston,0
281,2018,PG,76.0,188.6,22.95,4.9,100.0,78.75,8.0,9.0,31.0,39.5,11.26,3.21,3.11,8.0,1.036,131.0,139.5,Landry Shamet,1
282,2018,PG/SG,74.25,183.2,23.36,7.7,99.5,81.25,8.75,9.0,32.0,41.5,11.27,3.16,3.1,1.0,1.094,131.5,141.0,Anfernee Simons,1
283,2018,SG/SF,74.75,198.6,24.99,6.1,100.0,81.75,8.75,8.3,33.0,41.5,11.02,3.15,3.05,10.0,1.094,133.0,141.5,Zhaire Smith,1
284,2018,PF,81.0,215.4,23.08,5.6,109.0,88.75,9.25,9.0,26.0,32.0,11.48,3.2,3.34,12.0,1.096,135.0,141.0,Ray Spalding,0
285,2018,PF/C,80.0,253.8,27.88,13.8,107.5,86.0,9.0,9.0,28.5,35.5,12.28,3.35,3.38,8.0,1.075,136.0,143.0,Omari Spellman,0
286,2018,SG,74.5,198.8,25.18,6.4,101.0,82.5,8.75,9.3,30.0,35.0,10.96,3.18,3.18,14.0,1.107,131.0,136.0,Khyri Thomas,0
287,2018,SG,76.25,204.2,24.69,7.0,98.0,80.75,8.5,9.5,33.5,39.5,11.37,2.99,3.12,12.0,1.059,131.5,137.5,Gary Trent,1
288,2018,SG,75.75,198.0,24.26,5.0,98.0,78.75,8.25,10.5,32.0,40.0,11.02,2.97,3.14,11.0,1.04,130.0,138.0,Allonzo Trier,1
289,2018,PF/C,82.5,241.4,24.93,6.8,108.0,84.0,9.0,10.8,27.0,34.0,11.48,3.07,3.18,8.0,1.018,135.0,142.0,Moritz Wagner,0
290,2018,SG,75.75,196.2,24.04,5.7,99.5,82.25,9.0,9.5,31.5,40.0,10.87,2.91,3.06,12.0,1.086,131.0,139.5,Lonnie Walker,1
291,2018,PF,78.5,223.0,25.44,6.9,107.0,86.5,9.0,10.3,27.0,34.0,11.39,3.43,3.2,3.0,1.102,134.0,141.0,PJ Washington,0
292,2018,C,80.25,249.4,27.22,5.0,111.0,89.0,9.75,10.3,28.0,33.5,12.79,3.27,3.3,14.0,1.109,139.0,144.5,Austin Wiley,0
293,2018,SF,78.0,200.4,23.16,6.0,103.5,79.25,8.5,9.8,28.0,33.0,10.86,3.28,3.19,14.0,1.016,131.5,136.5,Kenrich Williams,0
295,2017,PF/C,80.75,242.6,26.16,5.2,108.0,86.75,9.5,8.8,33.5,38.5,11.94,3.24,3.24,12.0,1.074,141.5,146.5,Edrice Adebayo,1
296,2017,C,81.0,233.6,25.03,7.4,109.5,89.25,9.5,10.5,31.5,35.5,11.82,3.0,3.21,4.0,1.102,141.0,145.0,Jarrett Allen,0
297,2017,PG,73.0,192.4,25.38,6.4,99.5,81.25,8.5,8.8,33.0,35.5,11.24,2.98,3.15,7.0,1.113,132.5,135.0,Kadeem Allen,0
298,2017,C,80.5,252.2,27.36,5.4,110.5,90.25,9.5,10.0,29.5,32.5,12.52,3.48,3.44,11.0,1.121,140.0,143.0,Ike Anigbogu,0
300,2017,SG/SF,77.5,213.2,24.95,11.9,105.0,82.0,9.25,9.8,23.5,31.0,11.62,3.08,3.44,5.0,1.058,128.5,136.0,Jamel Artis,0
301,2017,SG/SF,76.75,221.6,26.45,7.9,103.5,82.0,8.75,10.0,30.0,36.5,11.7,3.22,3.22,8.0,1.068,133.5,140.0,Dwayne Bacon,1
302,2017,SG/SF,78.25,193.4,22.2,6.8,104.5,82.25,8.5,9.0,30.0,37.0,11.18,3.19,3.26,11.0,1.051,134.5,141.5,V.J. Beachem,1
303,2017,PF,79.0,223.6,25.19,5.4,104.5,83.75,9.25,9.5,31.5,38.0,10.63,2.83,3.21,16.0,1.06,136.0,142.5,Jordan Bell,1
304,2017,SF,77.75,218.6,25.42,5.7,104.5,82.0,8.75,10.3,31.0,35.5,11.47,3.35,3.17,16.0,1.055,135.5,140.0,Jaron Blossomgame,0
306,2017,C,81.25,248.8,26.49,12.0,112.5,89.0,9.5,9.5,24.5,27.5,11.79,2.99,3.44,5.0,1.095,137.0,140.0,Tony Bradley,0
307,2017,PG,73.25,222.4,29.14,11.0,99.5,81.0,9.0,9.3,28.0,33.5,10.95,2.85,3.38,11.0,1.106,127.5,133.0,Isaiah Briscoe,0
308,2017,SG/SF,77.0,220.2,26.11,7.5,100.5,78.0,8.25,9.3,31.0,37.5,11.14,3.24,3.21,16.0,1.013,131.5,138.0,Dillon Brooks,1
309,2017,PF/C,81.5,247.8,26.23,9.4,112.5,90.0,9.5,10.3,25.5,33.0,11.42,3.12,3.37,7.0,1.104,138.0,145.5,Thomas Bryant,0
310,2017,PF,80.25,225.2,24.58,5.4,106.5,83.25,9.0,10.0,33.0,37.5,11.66,3.27,3.27,15.0,1.037,139.5,144.0,John Collins,1
312,2017,SG,75.0,182.6,22.82,4.7,99.5,77.25,8.5,9.3,30.5,36.0,10.55,2.98,3.16,8.0,1.03,130.0,135.5,Tyler Dorsey,1
313,2017,SG/SF,76.5,205.2,24.65,5.3,100.0,81.0,8.5,9.3,31.5,38.0,11.18,3.03,3.13,13.0,1.059,131.5,138.0,Damyean Dotson,1
314,2017,SG,77.25,200.6,23.63,6.1,101.0,83.0,8.5,9.5,34.0,39.0,10.84,2.98,3.15,9.0,1.074,135.0,140.0,PJ Dozier,1
315,2017,PG,70.75,185.2,26.01,9.1,95.0,77.5,8.0,7.8,27.5,33.5,11.34,3.26,3.21,1.0,1.095,122.5,128.5,Jawun Evans,0
318,2017,PF,81.25,232.0,24.71,5.2,109.5,87.25,9.5,10.8,27.0,32.5,11.08,3.0,3.34,5.0,1.074,136.5,142.0,Harry Giles,0
319,2017,PF,78.25,254.2,29.19,11.5,104.5,87.25,8.75,10.0,29.0,33.5,11.81,2.94,3.27,16.0,1.115,133.5,138.0,Nigel Hayes,0
320,2017,PF,79.25,233.4,26.13,7.7,105.0,84.5,8.75,9.8,31.5,37.0,12.31,3.31,3.36,11.0,1.066,136.5,142.0,Isaiah Hicks,1
