"","Season","Name","Team","Position","Started","Games","FantasyPoints","Minutes","FieldGoalsMade","FieldGoalsAttempted","FieldGoalsPercentage","EffectiveFieldGoalsPercentage","TwoPointersMade","TwoPointersAttempted","TwoPointersPercentage","ThreePointersMade","ThreePointersAttempted","ThreePointersPercentage","FreeThrowsMade","FreeThrowsAttempted","FreeThrowsPercentage","OffensiveRebounds","DefensiveRebounds","Rebounds","OffensiveReboundsPercentage","DefensiveReboundsPercentage","TotalReboundsPercentage","Assists","Steals","BlockedShots","Turnovers","PersonalFouls","Points","TrueShootingAttempts","TrueShootingPercentage","PlayerEfficiencyRating","AssistsPercentage","StealsPercentage","BlocksPercentage","TurnOversPercentage","UsageRatePercentage","PlusMinus","DoubleDoubles","TripleDoubles","combine_year","POS","HEIGHT","WEIGHT","BMI","BODY.FAT","STANDING.REACH","WINGSPAN","HAND.LENGTH","HAND.WIDTH","STANDING.VERTICAL","MAX.VERTICAL","LANE.AGILITY","SHUTTLE.RUN","THREE.QUARTER.SPRINT","BENCH.PRESS","WINGSPAN.HEIGHT.RATIO","STANDING.TOUCH","MAX.TOUCH"
"22",2009,"Delonte West","CLE","PG",0,64,1014.6,1501,198.6,434.9,31.9,36.9,135.2,276,34.2,63.4,158.9,27.8,62.7,75.3,58.1,21.6,119.9,141.5,0.9,4.4,2.7,157.5,65.5,6.3,64.1,87.1,523.4,468,39,6.7,11.6,1.2,0.2,5.8,11.7,0,0,0,2004,"PG/SG",73.5,183,23.81,6.7,99.5,78,NA,NA,30,35,11.2,NA,3.15,12,1.061,129.5,134.5
"23",2009,"T.J. Ford","IND","PG",0,74,1418.3,1573,287.9,636.4,31.5,32.8,263.5,563.9,32.5,24.4,72.5,23.5,170.8,195.9,60.8,41.1,139.4,180.5,1.4,4.8,3.1,273.2,62,11.2,125.5,125.5,770.9,722.5,37.2,12.3,19.2,1,0.3,10.3,16.4,0,1.9,0,2003,"PG",71,162,22.59,6.7,93.5,71.5,NA,NA,32.5,39.5,11.45,NA,3.2,0,1.007,126,133
"24",2009,"Craig Smith","MIN","PF",0,74,836.6,1018,201.4,358.3,39.2,39.2,201.4,357.6,39.2,0,0.5,0,117.1,172.9,47.2,68.3,129.6,197.9,3.7,10.8,5.5,55.1,21.6,13.2,73.2,128.2,520,434.3,41.8,12,4.7,0.5,0.5,10.1,15.8,0,0.5,0,2006,"PF",77.5,259,30.31,12.2,103.5,81.5,NA,NA,30,29.5,11.59,NA,3.4,NA,1.052,133.5,133
"25",2009,"Jason Kapono","TOR","SF",0,80,688,1276,181.9,421,30.1,35.8,113.6,261.4,30.3,68.3,159.6,29.8,23.7,29.3,56.5,18.1,95.5,113.6,0.8,4.2,2.5,73.2,15.3,1.5,48.8,100.4,455.8,433.9,36.6,4.6,4.4,0.3,0.1,4.9,12.2,0,0,0,2003,"SG/SF",78.5,215,24.53,11.7,102,78.5,NA,NA,23.5,30,11.04,NA,3.38,8,1,125.5,132
"26",2009,"Brian Scalabrine","BOS","PF",0,39,170.8,351,33.5,79.5,29.3,36.7,16.7,36.9,31.6,16.7,42.5,27.4,11.2,12.5,62,3.4,30,34.8,0.9,4.8,2.9,12.5,3.4,4.9,5.8,50.9,94.8,85,38.8,3.7,2.6,0.4,0.8,4.4,6,0,0,0,2001,"SF/PF",80.75,241,25.98,13.6,105.5,81.75,NA,NA,27,30.5,11.75,NA,3.47,14,1.012,132.5,136
"27",2009,"Michael Redd","MIL","SF",0,33,683.3,838,173.6,381.3,31.7,36.2,124.8,248.1,35.1,48.8,133.1,25.5,91.3,112.2,56.7,16.7,57.9,74.6,1.1,4.1,2.6,61.3,24.4,1,36.9,31.4,487.2,430.6,39.5,13,6.4,0.7,0.1,3.8,17.5,0,0.5,0,2000,"SG/SF",76.75,214,25.54,NA,102,81,NA,NA,27,31,12.06,NA,3.34,12,1.055,129,133
"28",2009,"Maurice Evans","ATL","SF",0,80,713.4,1282,145,336,30.1,37.2,76.7,163.1,32.8,68.3,172.9,27.5,41.8,50.9,57.3,61.3,108,169.4,2.7,4.8,3.8,37.6,34.8,4.9,30,113.6,400.1,358.3,38.9,5.4,2.2,0.7,0.2,3.7,6.9,0,0.5,0,2001,"SG",76.25,221,26.72,4,101,80,NA,NA,34.5,37.5,10.08,NA,3.12,22,1.049,135.5,138.5
"29",2009,"Bobby Simmons","BKN","PF",0,71,755.8,1205,138,307.4,31.3,40.4,56.5,124.8,31.6,81.5,182.6,31.2,30,40.4,51.6,50.2,142.9,193.1,2.4,6.9,4.6,64.1,34.8,4.9,43.2,129.6,387.5,325.2,41.5,5.8,4.1,0.8,0.2,5.7,10,0,0.5,0,2001,"SF",78.25,235,26.98,6.7,105,84.25,NA,NA,27.5,34,11.69,NA,3.41,12,1.077,132.5,139
"30",2009,"Jamario Moon","MIA","SF",0,80,980.3,1441,154.7,330.4,32.6,37.4,109.4,202.8,37.6,45.3,127.6,24.7,47.4,55.8,59.2,40.4,214,254.4,1.6,12,5,66.2,59.9,41.8,30,92.7,402.2,354.9,39.5,6.6,3.4,1.1,1.1,3.8,6,0,0.5,0,2001,"SF",78.5,185,21.11,5.3,103,83.5,NA,NA,33,43,11.64,NA,3.08,0,1.064,136,146
"31",2009,"Morris Almond","UTA","SF",0,25,101.6,177,23,56.5,28.4,30.9,19.5,44.6,30.5,2.4,11.8,20.5,14.6,18.1,56.3,4.4,18.8,25.1,2,6.1,4.1,3.4,1.9,1.9,11.2,21.6,64.1,64.4,34.6,3.9,2,0.4,0.6,10.3,13.4,0,0,0,2006,"SG/SF",76.75,214,25.54,6.9,102.5,82,NA,NA,31,35.5,11.45,NA,3.19,13,1.068,133.5,138
